layer_name,class_name,input_shape,activation_in_size,d_type,Filters,Filter_size,Activ_fun,use_B,output_shape,activation_out_size,Params
input_1,InputLayer,"[None, 1200, 1200, 3]",4320000,float32,NaN,NaN,NaN,NaN,"[None, 1200, 1200, 3]",4320000,0
conv1,Conv2D,"[None, 1200, 1200, 3]",1,float32,12,"[3, 3]",relu,False,"[None, 600, 600, 12]",4320000,324
maxpool1,MaxPooling2D,"[None, 600, 600, 12]",4320000,float32,NaN,NaN,NaN,NaN,"[None, 300, 300, 12]",1080000,0
stage2/block1/1x1conv_1,Conv2D,"[None, 300, 300, 12]",1080000,float32,58,"[1, 1]",linear,True,"[None, 300, 300, 58]",5220000,754
stage2/block1/bn_1x1conv_1,BatchNormalization,"[None, 300, 300, 58]",5220000,float32,NaN,NaN,NaN,NaN,"[None, 300, 300, 58]",5220000,232
stage2/block1/relu_1x1conv_1,Activation,"[None, 300, 300, 58]",5220000,float32,NaN,NaN,relu,NaN,"[None, 300, 300, 58]",5220000,0
stage2/block1/3x3dwconv,DepthwiseConv2D,"[None, 300, 300, 58]",5220000,float32,NaN,"[3, 3]",linear,True,"[None, 150, 150, 58]",1305000,580
stage2/block1/3x3dwconv_2,DepthwiseConv2D,"[None, 150, 150, 58]",1305000,float32,NaN,"[3, 3]",linear,True,"[None, 150, 150, 12]",270000,120
stage2/block1/bn_3x3dwconv,BatchNormalization,"[None, 150, 150, 12]",270000,float32,NaN,NaN,NaN,NaN,"[None, 150, 150, 58]",1305000,232
stage2/block1/bn_3x3dwconv_2,BatchNormalization,"[None, 150, 150, 58]",1305000,float32,NaN,NaN,NaN,NaN,"[None, 150, 150, 12]",270000,48
stage2/block1/1x1conv_2,Conv2D,"[None, 150, 150, 12]",270000,float32,58,"[1, 1]",linear,True,"[None, 150, 150, 58]",1305000,3422
stage2/block1/1x1_conv_3,Conv2D,"[None, 150, 150, 58]",1305000,float32,58,"[1, 1]",linear,True,"[None, 150, 150, 58]",1305000,754
stage2/block1/bn_1x1conv_2,BatchNormalization,"[None, 150, 150, 58]",1305000,float32,NaN,NaN,NaN,NaN,"[None, 150, 150, 58]",1305000,232
stage2/block1/bn_1x1conv_3,BatchNormalization,"[None, 150, 150, 58]",1305000,float32,NaN,NaN,NaN,NaN,"[None, 150, 150, 58]",1305000,232
stage2/block1/relu_1x1conv_2,Activation,"[None, 150, 150, 58]",1305000,float32,NaN,NaN,relu,NaN,"[None, 150, 150, 58]",1305000,0
stage2/block1/relu_1x1conv_3,Activation,"[None, 150, 150, 58]",1305000,float32,NaN,NaN,relu,NaN,"[None, 150, 150, 58]",1305000,0
stage2/block1/concat_2,Concatenate,"[None, 150, 150, 58]",1305000,float32,NaN,NaN,NaN,NaN,"[None, 150, 150, 116]",2610000,0
stage2/block1/channel_shuffle,Lambda,"[None, 150, 150, 116]",2610000,float32,NaN,NaN,NaN,NaN,"[None, 150, 150, 116]",2610000,0
stage2/block2/spl/sp1_slice,Lambda,"[None, 150, 150, 116]",2610000,float32,NaN,NaN,NaN,NaN,"[None, 150, 150, 58]",1305000,0
stage2/block2/1x1conv_1,Conv2D,"[None, 150, 150, 58]",1305000,float32,58,"[1, 1]",linear,True,"[None, 150, 150, 58]",1305000,3422
stage2/block2/bn_1x1conv_1,BatchNormalization,"[None, 150, 150, 58]",1305000,float32,NaN,NaN,NaN,NaN,"[None, 150, 150, 58]",1305000,232
stage2/block2/relu_1x1conv_1,Activation,"[None, 150, 150, 58]",1305000,float32,NaN,NaN,relu,NaN,"[None, 150, 150, 58]",1305000,0
stage2/block2/3x3dwconv,DepthwiseConv2D,"[None, 150, 150, 58]",1305000,float32,NaN,"[3, 3]",linear,True,"[None, 150, 150, 58]",1305000,580
stage2/block2/bn_3x3dwconv,BatchNormalization,"[None, 150, 150, 58]",1305000,float32,NaN,NaN,NaN,NaN,"[None, 150, 150, 58]",1305000,232
stage2/block2/1x1conv_2,Conv2D,"[None, 150, 150, 58]",1305000,float32,58,"[1, 1]",linear,True,"[None, 150, 150, 58]",1305000,3422
